year,reference_code,local_reference,objectID,title,collection,collection_canonical,currency,price,price_eur,market,url,url_full
2026,CRWJBB0086,WJBB0086,CRWJBB0086,Montre Ballon Bleu de Cartier,Ballon Bleu de Cartier,Ballon Bleu,EUR,30200.0,30200.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJBB0086,https://www.cartier.com/fr-fr/product/CRWJBB0086
2026,CRWJTA0061,WJTA0061,CRWJTA0061,Montre Tank Française,Tank,Tank,EUR,36500.0,36500.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJTA0061,https://www.cartier.com/fr-fr/product/CRWJTA0061
2026,CRWGSA0030,WGSA0030,CRWGSA0030,Montre Santos de Cartier,Santos de Cartier,Santos,EUR,38400.0,38400.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWGSA0030,https://www.cartier.com/fr-fr/product/CRWGSA0030
2026,CRWGPN0046,WGPN0046,CRWGPN0046,Montre Panthère De Cartier PM,Panthère de Cartier,Panthère,EUR,42200.0,42200.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWGPN0046,https://www.cartier.com/fr-fr/product/CRWGPN0046
2026,CRHPI01689,HPI01689,CRHPI01689,Montre Tressage,Tressage,Other,EUR,43200.0,43200.0,fr-fr,https://www.cartier.com/fr-fr/product/CRHPI01689,https://www.cartier.com/fr-fr/product/CRHPI01689
2026,CRWGMC0003,WGMC0003,CRWGMC0003,Montre Reflection de Cartier (Taille 15),Reflection de Cartier,Other,EUR,43400.0,43400.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWGMC0003,https://www.cartier.com/fr-fr/product/CRWGMC0003
2026,CRWGSA0095,WGSA0095,CRWGSA0095,Montre Santos de Cartier,Santos de Cartier,Santos,EUR,43600.0,43600.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWGSA0095,https://www.cartier.com/fr-fr/product/CRWGSA0095
2026,CRWGSA0029,WGSA0029,CRWGSA0029,Montre Santos de Cartier,Santos de Cartier,Santos,EUR,43600.0,43600.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWGSA0029,https://www.cartier.com/fr-fr/product/CRWGSA0029
2026,CRWJPN0059,WJPN0059,CRWJPN0059,Montre Panthère de Cartier,Panthère de Cartier,Panthère,EUR,48300.0,48300.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJPN0059,https://www.cartier.com/fr-fr/product/CRWJPN0059
2026,CRHPI01380,HPI01380,CRHPI01380,Montre La Panthère de Cartier,La Panthère de Cartier,Panthère,EUR,51000.0,51000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRHPI01380,https://www.cartier.com/fr-fr/product/CRHPI01380
2026,CRWJPN0060,WJPN0060,CRWJPN0060,Montre Panthère de Cartier,Panthère de Cartier,Panthère,EUR,58500.0,58500.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJPN0060,https://www.cartier.com/fr-fr/product/CRWJPN0060
2026,CRHPI01526,HPI01526,CRHPI01526,Montre La Panthère de Cartier,La Panthère de Cartier,Panthère,EUR,64000.0,64000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRHPI01526,https://www.cartier.com/fr-fr/product/CRHPI01526
2026,CRWJCS0009,WJCS0009,CRWJCS0009,Montre Coussin de Cartier,Coussin de Cartier,Other,EUR,71500.0,71500.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJCS0009,https://www.cartier.com/fr-fr/product/CRWJCS0009
2026,CRHPI01537,HPI01537,CRHPI01537,Montre La Panthère de Cartier,La Panthère de Cartier,Panthère,EUR,72000.0,72000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRHPI01537,https://www.cartier.com/fr-fr/product/CRHPI01537
2026,CRHPI01441,HPI01441,CRHPI01441,Montre La Panthère de Cartier,La Panthère de Cartier,Panthère,EUR,89000.0,89000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRHPI01441,https://www.cartier.com/fr-fr/product/CRHPI01441
2026,CRHPI01359,HPI01359,CRHPI01359,Montre Joaillière Panthère,Panthère Jewelry Watches,Panthère,EUR,150000.0,150000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRHPI01359,https://www.cartier.com/fr-fr/product/CRHPI01359
2026,CRWGSA0116,WGSA0116,CRWGSA0116,Montre Santos-Dumont,Santos de Cartier,Santos,EUR,14600.0,14600.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWGSA0116,https://www.cartier.com/fr-fr/product/CRWGSA0116
2026,CRWGBA0081,WGBA0081,CRWGBA0081,Montre Baignoire,Baignoire,Other,EUR,15900.0,15900.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWGBA0081,https://www.cartier.com/fr-fr/product/CRWGBA0081
2026,CRWGBA0080,WGBA0080,CRWGBA0080,Montre Baignoire,Baignoire,Other,EUR,15900.0,15900.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWGBA0080,https://www.cartier.com/fr-fr/product/CRWGBA0080
2026,CRWGBB0052,WGBB0052,CRWGBB0052,Montre Ballon Bleu de Cartier,Ballon Bleu de Cartier,Ballon Bleu,EUR,16800.0,16800.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWGBB0052,https://www.cartier.com/fr-fr/product/CRWGBB0052
