year,reference_code,collection_canonical,price,price_eur,currency,market,title,url
2026,CRWSSA0086,Santos,4700.0,4700.0,EUR,fr-fr,Montre Santos-Dumont,https://www.cartier.com/fr-fr/product/CRWSSA0086
2026,CRWSTA0067,Tank,6600.0,6600.0,EUR,fr-fr,Montre Tank Française,https://www.cartier.com/fr-fr/product/CRWSTA0067
2026,CRWSSA0071,Santos,8900.0,8900.0,EUR,fr-fr,Montre Santos de Cartier,https://www.cartier.com/fr-fr/product/CRWSSA0071
2026,CRWSTA0117,Tank,4350.0,4350.0,EUR,fr-fr,Montre Tank Américaine,https://www.cartier.com/fr-fr/product/CRWSTA0117
2026,CRWSSA0037,Santos,9250.0,9250.0,EUR,fr-fr,Montre Santos de Cartier,https://www.cartier.com/fr-fr/product/CRWSSA0037
2026,CRWSBB0030,Ballon Bleu,6250.0,6250.0,EUR,fr-fr,Montre Ballon Bleu de Cartier,https://www.cartier.com/fr-fr/product/CRWSBB0030
2026,CRW2SA0037,Santos,7200.0,7200.0,EUR,fr-fr,Montre Santos-Dumont,https://www.cartier.com/fr-fr/product/CRW2SA0037
2026,CRWSSA0039,Santos,9500.0,9500.0,EUR,fr-fr,Montre Santos de Cartier,https://www.cartier.com/fr-fr/product/CRWSSA0039
2026,CRWSTA0108,Tank,3900.0,3900.0,EUR,fr-fr,Montre Tank Must de Cartier,https://www.cartier.com/fr-fr/product/CRWSTA0108
2026,CRWSTA0138,Tank,3750.0,3750.0,EUR,fr-fr,Montre Tank Must de Cartier,https://www.cartier.com/fr-fr/product/CRWSTA0138
2026,CRW2SA0034,Santos,10500.0,10500.0,EUR,fr-fr,Montre Santos-Dumont,https://www.cartier.com/fr-fr/product/CRW2SA0034
2026,CRWSBB0028,Ballon Bleu,6550.0,6550.0,EUR,fr-fr,Montre Ballon Bleu de Cartier,https://www.cartier.com/fr-fr/product/CRWSBB0028
2026,CRWSSA0018,Santos,8900.0,8900.0,EUR,fr-fr,Montre Santos de Cartier,https://www.cartier.com/fr-fr/product/CRWSSA0018
2026,CRWSSA0085,Santos,5000.0,5000.0,EUR,fr-fr,Montre Santos-Dumont,https://www.cartier.com/fr-fr/product/CRWSSA0085
2026,CRWSSA0061,Santos,8100.0,8100.0,EUR,fr-fr,Montre Santos de Cartier,https://www.cartier.com/fr-fr/product/CRWSSA0061
2026,CRWJBA0042,Other,29400.0,29400.0,EUR,fr-fr,Montre Baignoire,https://www.cartier.com/fr-fr/product/CRWJBA0042
2026,CRWGTA0341,Tank,9150.0,9150.0,EUR,fr-fr,Montre Tank Américaine,https://www.cartier.com/fr-fr/product/CRWGTA0341
2026,CRWSBB0068,Ballon Bleu,6700.0,6700.0,EUR,fr-fr,Montre Ballon Bleu de Cartier,https://www.cartier.com/fr-fr/product/CRWSBB0068
2026,CRWJTA0057,Tank,29900.0,29900.0,EUR,fr-fr,Montre Tank Américaine,https://www.cartier.com/fr-fr/product/CRWJTA0057
2026,CRWSTA0113,Tank,3900.0,3900.0,EUR,fr-fr,Montre Tank Must de Cartier,https://www.cartier.com/fr-fr/product/CRWSTA0113
2026,CRWSTA0141,Tank,5400.0,5400.0,EUR,fr-fr,Montre Tank Must de Cartier,https://www.cartier.com/fr-fr/product/CRWSTA0141
2026,CRWSBB0026,Ballon Bleu,7600.0,7600.0,EUR,fr-fr,Montre Ballon Bleu de Cartier,https://www.cartier.com/fr-fr/product/CRWSBB0026
2026,CRWJBA0006,Other,47300.0,47300.0,EUR,fr-fr,Montre Baignoire Allongée,https://www.cartier.com/fr-fr/product/CRWJBA0006
2026,CRWSBB0048,Ballon Bleu,7150.0,7150.0,EUR,fr-fr,Montre Ballon Bleu de Cartier,https://www.cartier.com/fr-fr/product/CRWSBB0048
2026,CRWSTA0083,Tank,6750.0,6750.0,EUR,fr-fr,Montre Tank Américaine,https://www.cartier.com/fr-fr/product/CRWSTA0083
2026,CRWSSA0032,Santos,7450.0,7450.0,EUR,fr-fr,Montre Santos-Dumont,https://www.cartier.com/fr-fr/product/CRWSSA0032
2026,CRW4PN0018,Panthère,10500.0,10500.0,EUR,fr-fr,Montre Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRW4PN0018
2026,CRWGMC0005,Other,,,EUR,fr-fr,Montre Reflection de Cartier,https://www.cartier.com/fr-fr/product/CRWGMC0005
2026,CRW2PN0016,Panthère,11800.0,11800.0,EUR,fr-fr,Montre Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRW2PN0016
2026,CRW4TA0029,Tank,9200.0,9200.0,EUR,fr-fr,Montre Tank Française,https://www.cartier.com/fr-fr/product/CRW4TA0029
2026,CRW4SA0005,Santos,15200.0,15200.0,EUR,fr-fr,Montre Santos de Cartier,https://www.cartier.com/fr-fr/product/CRW4SA0005
2026,CRW2BB0038,Ballon Bleu,11900.0,11900.0,EUR,fr-fr,Montre Ballon Bleu de Cartier,https://www.cartier.com/fr-fr/product/CRW2BB0038
2026,CRWJTA0067,Tank,45000.0,45000.0,EUR,fr-fr,Montre Tank Américaine,https://www.cartier.com/fr-fr/product/CRWJTA0067
2026,CRW4TA0028,Tank,10600.0,10600.0,EUR,fr-fr,Montre Tank Française,https://www.cartier.com/fr-fr/product/CRW4TA0028
2026,CRWGPN0060,Panthère,26600.0,26600.0,EUR,fr-fr,Montre Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRWGPN0060
2026,CRWGBA0042,Other,12900.0,12900.0,EUR,fr-fr,Montre Baignoire,https://www.cartier.com/fr-fr/product/CRWGBA0042
2026,CRWGPN0059,Panthère,26600.0,26600.0,EUR,fr-fr,Montre Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRWGPN0059
2026,CRW2BB0032,Ballon Bleu,10700.0,10700.0,EUR,fr-fr,Montre Ballon Bleu de Cartier,https://www.cartier.com/fr-fr/product/CRW2BB0032
2026,CRWJBA0047,Other,40800.0,40800.0,EUR,fr-fr,Montre Baignoire,https://www.cartier.com/fr-fr/product/CRWJBA0047
2026,CRWJBA0007,Other,50500.0,50500.0,EUR,fr-fr,Montre Baignoire Allongée,https://www.cartier.com/fr-fr/product/CRWJBA0007
2026,CRWGSA0117,Santos,12600.0,12600.0,EUR,fr-fr,Montre Santos-Dumont,https://www.cartier.com/fr-fr/product/CRWGSA0117
2026,CRWGTA0340,Tank,13000.0,13000.0,EUR,fr-fr,Montre Tank Américaine,https://www.cartier.com/fr-fr/product/CRWGTA0340
2026,CRWGTA0356,Tank,13000.0,13000.0,EUR,fr-fr,Montre Tank Américaine,https://www.cartier.com/fr-fr/product/CRWGTA0356
2026,CRHPI01773,Other,62500.0,62500.0,EUR,fr-fr,Montre Baignoire,https://www.cartier.com/fr-fr/product/CRHPI01773
2026,CRWJTA0060,Tank,68500.0,68500.0,EUR,fr-fr,Montre Tank Américaine,https://www.cartier.com/fr-fr/product/CRWJTA0060
2026,CRHPI01701,Other,84000.0,84000.0,EUR,fr-fr,Montre Baignoire,https://www.cartier.com/fr-fr/product/CRHPI01701
2026,CRW2SA0036,Santos,7200.0,7200.0,EUR,fr-fr,Montre Santos-Dumont,https://www.cartier.com/fr-fr/product/CRW2SA0036
2026,CRWSSA0046,Santos,8400.0,8400.0,EUR,fr-fr,Montre Santos-Dumont,https://www.cartier.com/fr-fr/product/CRWSSA0046
2026,CRWSBB0073,Ballon Bleu,5500.0,5500.0,EUR,fr-fr,Montre Ballon Bleu de Cartier,https://www.cartier.com/fr-fr/product/CRWSBB0073
2026,CRW4TA0030,Tank,7400.0,7400.0,EUR,fr-fr,Montre Tank Must de Cartier,https://www.cartier.com/fr-fr/product/CRW4TA0030
2026,CRWSBB0049,Ballon Bleu,8050.0,8050.0,EUR,fr-fr,Montre Ballon Bleu de Cartier,https://www.cartier.com/fr-fr/product/CRWSBB0049
2026,CRW4BB0037,Ballon Bleu,12900.0,12900.0,EUR,fr-fr,Montre Ballon Bleu de Cartier,https://www.cartier.com/fr-fr/product/CRW4BB0037
2026,CRW4BB0023,Ballon Bleu,12900.0,12900.0,EUR,fr-fr,Montre Ballon Bleu de Cartier,https://www.cartier.com/fr-fr/product/CRW4BB0023
2026,CRW4BB0035,Ballon Bleu,14900.0,14900.0,EUR,fr-fr,Montre Ballon Bleu de Cartier,https://www.cartier.com/fr-fr/product/CRW4BB0035
2026,CRWHSA0015,Santos,32900.0,32900.0,EUR,fr-fr,Montre squelette Santos de Cartier,https://www.cartier.com/fr-fr/product/CRWHSA0015
2026,CRWHSA0032,Santos,33500.0,33500.0,EUR,fr-fr,Montre squelette Santos-Dumont équipée d’un micro-rotor,https://www.cartier.com/fr-fr/product/CRWHSA0032
2026,CRWHSA0028,Santos,34100.0,34100.0,EUR,fr-fr,Montre squelette Santos de Cartier,https://www.cartier.com/fr-fr/product/CRWHSA0028
2026,CRWHSA0026,Santos,34100.0,34100.0,EUR,fr-fr,Montre squelette Santos de Cartier,https://www.cartier.com/fr-fr/product/CRWHSA0026
2026,CRWHSA0044,Santos,34700.0,34700.0,EUR,fr-fr,Montre squelette Santos-Dumont équipée d’un micro-rotor,https://www.cartier.com/fr-fr/product/CRWHSA0044
2026,CRW2SA0030,Santos,13500.0,13500.0,EUR,fr-fr,Montre Santos de Cartier,https://www.cartier.com/fr-fr/product/CRW2SA0030
2026,CRW3SA0007,Santos,19000.0,19000.0,EUR,fr-fr,Montre Santos de Cartier,https://www.cartier.com/fr-fr/product/CRW3SA0007
2026,CRWHSA0019,Santos,38200.0,38200.0,EUR,fr-fr,Montre squelette Santos de Cartier,https://www.cartier.com/fr-fr/product/CRWHSA0019
2026,CRWGTA0269,Tank,14000.0,14000.0,EUR,fr-fr,Montre Tank Louis Cartier,https://www.cartier.com/fr-fr/product/CRWGTA0269
2026,CRWGTA0091,Tank,14600.0,14600.0,EUR,fr-fr,Montre Tank Louis Cartier,https://www.cartier.com/fr-fr/product/CRWGTA0091
2026,CRWGSA0115,Santos,14600.0,14600.0,EUR,fr-fr,Montre Santos-Dumont,https://www.cartier.com/fr-fr/product/CRWGSA0115
2026,CRWGBA0078,Other,15900.0,15900.0,EUR,fr-fr,Montre Baignoire,https://www.cartier.com/fr-fr/product/CRWGBA0078
