reference_code,local_reference,title,price,currency,url,collection,objectID
CRWHSA0044,WHSA0044,Montre squelette Santos-Dumont équipée d’un micro-rotor,34700.0,EUR,https://www.cartier.com/fr-fr/product/CRWHSA0044,Santos de Cartier,CRWHSA0044
CRW2SA0030,W2SA0030,Montre Santos de Cartier,13500.0,EUR,https://www.cartier.com/fr-fr/product/CRW2SA0030,Santos de Cartier,CRW2SA0030
CRW3SA0007,W3SA0007,Montre Santos de Cartier,19000.0,EUR,https://www.cartier.com/fr-fr/product/CRW3SA0007,Santos de Cartier,CRW3SA0007
CRWHSA0019,WHSA0019,Montre squelette Santos de Cartier,38200.0,EUR,https://www.cartier.com/fr-fr/product/CRWHSA0019,Santos de Cartier,CRWHSA0019
CRWGTA0269,WGTA0269,Montre Tank Louis Cartier,14000.0,EUR,https://www.cartier.com/fr-fr/product/CRWGTA0269,Tank,CRWGTA0269
CRWGTA0091,WGTA0091,Montre Tank Louis Cartier,14600.0,EUR,https://www.cartier.com/fr-fr/product/CRWGTA0091,Tank,CRWGTA0091
CRWGSA0115,WGSA0115,Montre Santos-Dumont,14600.0,EUR,https://www.cartier.com/fr-fr/product/CRWGSA0115,Santos de Cartier,CRWGSA0115
CRWGBA0078,WGBA0078,Montre Baignoire,15900.0,EUR,https://www.cartier.com/fr-fr/product/CRWGBA0078,Baignoire,CRWGBA0078
CRWGBA0077,WGBA0077,Montre Baignoire,15900.0,EUR,https://www.cartier.com/fr-fr/product/CRWGBA0077,Baignoire,CRWGBA0077
CRWGSA0097,WGSA0097,Montre Santos-Dumont,17400.0,EUR,https://www.cartier.com/fr-fr/product/CRWGSA0097,Santos de Cartier,CRWGSA0097
CRWGTA0300,WGTA0300,Montre Tank Américaine,18800.0,EUR,https://www.cartier.com/fr-fr/product/CRWGTA0300,Tank,CRWGTA0300
CRWGSA0108,WGSA0108,Montre Santos-Dumont,18800.0,EUR,https://www.cartier.com/fr-fr/product/CRWGSA0108,Santos de Cartier,CRWGSA0108
CRWGSA0111,WGSA0111,Montre Santos-Dumont,19400.0,EUR,https://www.cartier.com/fr-fr/product/CRWGSA0111,Santos de Cartier,CRWGSA0111
CRWJBA0054,WJBA0054,Montre Baignoire,21400.0,EUR,https://www.cartier.com/fr-fr/product/CRWJBA0054,Baignoire,CRWJBA0054
CRWGPN0048,WGPN0048,Montre Panthère de Cartier,23400.0,EUR,https://www.cartier.com/fr-fr/product/CRWGPN0048,Panthère de Cartier,CRWGPN0048
CRWGTA0405,WGTA0405,Montre Tank Américaine,23700.0,EUR,https://www.cartier.com/fr-fr/product/CRWGTA0405,Tank,CRWGTA0405
CRWGTA0406,WGTA0406,Montre Tank Américaine,28100.0,EUR,https://www.cartier.com/fr-fr/product/CRWGTA0406,Tank,CRWGTA0406
CRWGTA0345,WGTA0345,Montre Tank Française,29900.0,EUR,https://www.cartier.com/fr-fr/product/CRWGTA0345,Tank,CRWGTA0345
CRWGPN0058,WGPN0058,Montre Panthère de Cartier,30500.0,EUR,https://www.cartier.com/fr-fr/product/CRWGPN0058,Panthère de Cartier,CRWGPN0058
CRWJPN0086,WJPN0086,Montre Panthère De Cartier PM,30800.0,EUR,https://www.cartier.com/fr-fr/product/CRWJPN0086,Panthère de Cartier,CRWJPN0086
CRWJPN0057,WJPN0057,Montre Panthère De Cartier PM,31700.0,EUR,https://www.cartier.com/fr-fr/product/CRWJPN0057,Panthère de Cartier,CRWJPN0057
CRWJBA0048,WJBA0048,Montre Baignoire,31800.0,EUR,https://www.cartier.com/fr-fr/product/CRWJBA0048,Baignoire,CRWJBA0048
CRWJPN0094,WJPN0094,Montre Panthère de Cartier,32200.0,EUR,https://www.cartier.com/fr-fr/product/CRWJPN0094,Panthère de Cartier,CRWJPN0094
CRWGSA0107,WGSA0107,Montre Santos de Cartier,33300.0,EUR,https://www.cartier.com/fr-fr/product/CRWGSA0107,Santos de Cartier,CRWGSA0107
CRWGPN0051,WGPN0051,Montre Panthère de Cartier,33500.0,EUR,https://www.cartier.com/fr-fr/product/CRWGPN0051,Panthère de Cartier,CRWGPN0051
CRWJPN0085,WJPN0085,Montre Panthère de Cartier,35900.0,EUR,https://www.cartier.com/fr-fr/product/CRWJPN0085,Panthère de Cartier,CRWJPN0085
CRWJPN0090,WJPN0090,Montre Panthère de Cartier,36200.0,EUR,https://www.cartier.com/fr-fr/product/CRWJPN0090,Panthère de Cartier,CRWJPN0090
CRWJBB0086,WJBB0086,Montre Ballon Bleu de Cartier,30200.0,EUR,https://www.cartier.com/fr-fr/product/CRWJBB0086,Ballon Bleu de Cartier,CRWJBB0086
CRWJTA0061,WJTA0061,Montre Tank Française,36500.0,EUR,https://www.cartier.com/fr-fr/product/CRWJTA0061,Tank,CRWJTA0061
CRWGSA0030,WGSA0030,Montre Santos de Cartier,38400.0,EUR,https://www.cartier.com/fr-fr/product/CRWGSA0030,Santos de Cartier,CRWGSA0030
CRWGPN0046,WGPN0046,Montre Panthère De Cartier PM,42200.0,EUR,https://www.cartier.com/fr-fr/product/CRWGPN0046,Panthère de Cartier,CRWGPN0046
