reference_code,title,price,currency,url,collection,objectID
,,,EUR,,,CRB4085900
,,,EUR,,,CRB4079900
,,,EUR,,,CRB4074100
,,,EUR,,,CRB4059600
,,,EUR,,,CRB4057600
,,,EUR,,,CRB4031300
,,,EUR,,,CRB4031200
,,,EUR,,,CRB4002300
,,"6,250€",EUR,,,CRB6084017
,,"7,750€",EUR,,,CRB6092017
,,"9,400€",EUR,,,CRB6085417
,,"11,000€",EUR,,,CRN6719617
,,"12,100€",EUR,,,CRB6065717
,,"15,700€",EUR,,,CRB6048717
,,"24,300€",EUR,,,CRN7424408
,,"25,700€",EUR,,,CRN6708517
,,"28,800€",EUR,,,CRN6730417
,,,EUR,,,CRN4730900
,,,EUR,,,CRB4233100
,,,EUR,,,CRB4227400
,,,EUR,,,CRB4222500
,,,EUR,,,CRB4211000
,,,EUR,,,CRB4099500
,,,EUR,,,CRB4092700
,,,EUR,,,CRB4083500
,,"3,500€",EUR,,,CRB7224768
,,"5,850€",EUR,,,CRB6065817
,,"7,200€",EUR,,,CRB6091317
,,"8,550€",EUR,,,CRB6049517
,,"8,800€",EUR,,,CRB6065117
,,"9,750€",EUR,,,CRB6078417
,,"10,200€",EUR,,,CRN6718717
,,"11,300€",EUR,,,CRB6065217
,,"11,500€",EUR,,,CRB7224902
,,"13,000€",EUR,,,CRN6723517
,,"14,700€",EUR,,,CRB6048517
,,"17,100€",EUR,,,CRN7424553
,,"18,400€",EUR,,,CRN7424419
,,"19,400€",EUR,,,CRN7424398
,,"22,700€",EUR,,,CRN7424407
,,"24,000€",EUR,,,CRN6708417
,,"26,100€",EUR,,,CRN6722017
,,"27,300€",EUR,,,CRN7424462
,,"28,200€",EUR,,,CRN7424571
,,"42,000€",EUR,,,CRN6729617
,,"46,400€",EUR,,,CRN7424268
,,"70,500€",EUR,,,CRN7424410
,,,EUR,,,CRB4246700
,,,EUR,,,CRB4246600
,,,EUR,,,CRB4243700
,,,EUR,,,CRB4243600
,,,EUR,,,CRB4242700
,,,EUR,,,CRB4241200
,,,EUR,,,CRB4241100
,,,EUR,,,CRB4240200
,,,EUR,,,CRB4237800
,,,EUR,,,CRB4234300
,,,EUR,,,CRB4232500
,,,EUR,,,CRB4232300
,,,EUR,,,CRB4230900
,,,EUR,,,CRB4230000
,,,EUR,,,CRB4229900
,,,EUR,,,CRB4229800
,,,EUR,,,CRB4227300
,,,EUR,,,CRB4215900
,,,EUR,,,CRB4210800
,,,EUR,,,CRB4210700
,,,EUR,,,CRB4098000
,,,EUR,,,CRB4096600
,,,EUR,,,CRB4094800
,,,EUR,,,CRB4093700
,,,EUR,,,CRB4088200
,,,EUR,,,CRB4088100
,,,EUR,,,CRB4087200
,,,EUR,,,CRB4086400
,,,EUR,,,CRB4079800
,,"9,150€",EUR,,,CRB6049617
,,"11,700€",EUR,,,CRB7224998
,,,EUR,,,CRN4804800
,,,EUR,,,CRB4241400
,,,EUR,,,CRB4241300
,,,EUR,,,CRB4233000
,,,EUR,,,CRB4232400
,,,EUR,,,CRB4232200
,,,EUR,,,CRB4231100
,,,EUR,,,CRB4224300
,,,EUR,,,CRB4224200
,,,EUR,,,CRB4210300
,,,EUR,,,CRB4210200
,,,EUR,,,CRB4210100
,,,EUR,,,CRB4209900
,,,EUR,,,CRB4098200
,,,EUR,,,CRB4098100
,,,EUR,,,CRB4093900
,,,EUR,,,CRB4078000
,,,EUR,,,CRB4077800
,,,EUR,,,CRB4071800
,,,EUR,,,CRB4059500
,,,EUR,,,CRB4058300
,,,EUR,,,CRB4057700
,,,EUR,,,CRB4054000
,,,EUR,,,CRB4052200
,,,EUR,,,CRB4052100
,,,EUR,,,CRB4051300
,,,EUR,,,CRB4036800
,,,EUR,,,CRB4036700
,,,EUR,,,CRB4012500
,,"30,700€",EUR,,,CRN6726417
,,"36,800€",EUR,,,CRN6736817
,,"48,900€",EUR,,,CRN6726917
,,"62,500€",EUR,,,CRN6727317
,,,EUR,,,CRB4218000
,,"32,900€",EUR,,,CRN6726517
,,"39,300€",EUR,,,CRN6737617
,,"52,500€",EUR,,,CRN6727017
,,"52,500€",EUR,,,CRN6032417
,,"67,000€",EUR,,,CRN6727417
,,"70,000€",EUR,,,CRN7424352
,,,EUR,,,CRN4210400
,,,EUR,,,CRB4218200
,,,EUR,,,CRB4083400
,,"30,700€",EUR,,,CRN6726317
,,"36,800€",EUR,,,CRN6736017
,,"48,900€",EUR,,,CRN6726817
,,"62,500€",EUR,,,CRN6727217
,,,EUR,,,CRB4218100
,,,EUR,,,CRB4087600
,,,EUR,,,CRB4085800
,,"5,750€",EUR,,,CRB7224774
,,"6,300€",EUR,,,CRB7224782
,,"8,100€",EUR,,,CRB6049917
,,"11,600€",EUR,,,CRB6064516
,,"26,100€",EUR,,,CRN6709917
,,"32,400€",EUR,,,CRN6725817
,,"52,500€",EUR,,,CRN6726117
,,"53,500€",EUR,,,CRN6718117
,,"64,500€",EUR,,,CRN6725617
,,"68,000€",EUR,,,CRN6722117
,,,EUR,,,CRN4765800
,,,EUR,,,CRN4765500
,,,EUR,,,CRN4225000
,,,EUR,,,CRB4235500
,,,EUR,,,CRB4234900
,,,EUR,,,CRB4221100
,,,EUR,,,CRB4216000
,,,EUR,,,CRB4127100
,,,EUR,,,CRB4096700
,,,EUR,,,CRB4080300
,,"8,700€",EUR,,,CRB6049717
,,"11,800€",EUR,,,CRB6087317
,,"29,300€",EUR,,,CRN6715817
,,"42,100€",EUR,,,CRN6713317
,,"73,000€",EUR,,,CRN6722317
,,"91,500€",EUR,,,CRN6710017
,,,EUR,,,CRN4788200
,,,EUR,,,CRN4777900
