reference_code,url,price,currency,life_span,material_label,size_label,collection
WJPN0016,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651434929.html#dept=EU_Panthere-de-Cartier-Watches,30600.0,EUR,Q4 September 2022,Other,Medium,Panthere
WJPN0019,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651434931.html#dept=EU_Panthere-de-Cartier-Watches,31400.0,EUR,Q4 September 2022,Other,Medium,Panthere
WJPN0020,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651434933.html#dept=EU_Panthere-de-Cartier-Watches,29200.0,EUR,Q4 September 2022,Other,Medium,Panthere
WSPN0007,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651435011.html#dept=EU_Panthere-de-Cartier-Watches,5100.0,EUR,Q4 September 2022,Other,Medium,Panthere
WJPN0006,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651442637.html#dept=EU_Panthere-de-Cartier-Watches,28500.0,EUR,Q4 September 2022,Other,Medium,Panthere
WJPN0007,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651442639.html#dept=EU_Panthere-de-Cartier-Watches,32800.0,EUR,Q4 September 2022,Other,Medium,Panthere
WJPN0008,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651442641.html#dept=EU_Panthere-de-Cartier-Watches,26400.0,EUR,Q4 September 2022,Other,Medium,Panthere
WJPN0022,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651442654.html#dept=EU_Panthere-de-Cartier-Watches,48600.0,EUR,Q4 September 2022,Other,Medium,Panthere
WGPN0006,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651447058.html#dept=EU_Panthere-de-Cartier-Watches,22100.0,EUR,Q4 September 2022,Other,Medium,Panthere
WGPN0007,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651447060.html#dept=EU_Panthere-de-Cartier-Watches,25500.0,EUR,Q4 September 2022,Other,Medium,Panthere
WGPN0008,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651447061.html#dept=EU_Panthere-de-Cartier-Watches,22100.0,EUR,Q4 September 2022,Other,Medium,Panthere
WGPN0009,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651447063.html#dept=EU_Panthere-de-Cartier-Watches,25500.0,EUR,Q4 September 2022,Other,Medium,Panthere
WGPN0012,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651447065.html#dept=EU_Panthere-de-Cartier-Watches,40000.0,EUR,Q4 September 2022,Other,Medium,Panthere
WGPN0013,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651447066.html#dept=EU_Panthere-de-Cartier-Watches,37100.0,EUR,Q4 September 2022,Other,Medium,Panthere
WGPN0016,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651447068.html#dept=EU_Panthere-de-Cartier-Watches,20100.0,EUR,Q4 September 2022,Other,Medium,Panthere
WGPN0018,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651447072.html#dept=EU_Panthere-de-Cartier-Watches,44100.0,EUR,Q4 September 2022,Other,Medium,Panthere
W2PN0006,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651456351.html#dept=EU_Panthere-de-Cartier-Watches,8200.0,EUR,Q4 September 2022,Other,Medium,Panthere
W2PN0007,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651456352.html#dept=EU_Panthere-de-Cartier-Watches,8950.0,EUR,Q4 September 2022,Other,Medium,Panthere
W3PN0006,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651456377.html#dept=EU_Panthere-de-Cartier-Watches,12400.0,EUR,Q4 September 2022,Other,Medium,Panthere
W3PN0007,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651456378.html#dept=EU_Panthere-de-Cartier-Watches,13800.0,EUR,Q4 September 2022,Other,Medium,Panthere
W4PN0007,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651456387.html#dept=EU_Panthere-de-Cartier-Watches,8550.0,EUR,Q4 September 2022,Other,Medium,Panthere
W4PN0008,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651456388.html#dept=EU_Panthere-de-Cartier-Watches,9850.0,EUR,Q4 September 2022,Other,Medium,Panthere
HPI01096,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651459443.html#dept=EU_Panthere-de-Cartier-Watches,154000.0,EUR,Q4 September 2022,Other,Medium,Panthere
HPI01129,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651459465.html#dept=EU_Panthere-de-Cartier-Watches,91500.0,EUR,Q4 September 2022,Other,Medium,Panthere
HPI01130,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651459467.html#dept=EU_Panthere-de-Cartier-Watches,128000.0,EUR,Q4 September 2022,Other,Medium,Panthere
HPI01131,https://www.cartier.com/fr-fr/montre-panthere-de-cartier_cod44733502651459468.html#dept=EU_Panthere-de-Cartier-Watches,86000.0,EUR,Q4 September 2022,Other,Medium,Panthere
WGPA0019,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod1647597283185777.html#dept=EU_Pasha-de-Cartier,19400.0,EUR,Q4 September 2022,Other,Medium,Pasha
WJPA0020,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod1647597283185782.html#dept=EU_Pasha-de-Cartier,30500.0,EUR,Q4 September 2022,Other,Medium,Pasha
WJPA0021,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod1647597283185784.html#dept=EU_Pasha-de-Cartier,22500.0,EUR,Q4 September 2022,Other,Medium,Pasha
W2PA0008,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod20346390236037378.html#dept=EU_Pasha-de-Cartier,10500.0,EUR,Q4 September 2022,Other,Medium,Pasha
W2PA0009,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod20346390236037554.html#dept=EU_Pasha-de-Cartier,11800.0,EUR,Q4 September 2022,Other,Medium,Pasha
WGPA0017,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod20346390236037638.html#dept=EU_Pasha-de-Cartier,24900.0,EUR,Q4 September 2022,Other,Medium,Pasha
WSPA0018,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod20346390236037970.html#dept=EU_Pasha-de-Cartier,10200.0,EUR,Q4 September 2022,Other,Medium,Pasha
WSPA0010,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod25372685655501876.html#dept=EU_Pasha-de-Cartier,6750.0,EUR,Q4 September 2022,Other,Medium,Pasha
WSPA0012,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod25372685655501877.html#dept=EU_Pasha-de-Cartier,6150.0,EUR,Q4 September 2022,Other,Medium,Pasha
WJPA0014,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod25372685655503483.html#dept=EU_Pasha-de-Cartier,136000.0,EUR,Q4 September 2022,Other,Medium,Pasha
WHPA0006,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod25372685655505433.html#dept=EU_Pasha-de-Cartier,101000.0,EUR,Q4 September 2022,Other,Medium,Pasha
WHPA0007,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod25372685655505434.html#dept=EU_Pasha-de-Cartier,28200.0,EUR,Q4 September 2022,Other,Medium,Pasha
WGPA0007,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod25372685655505749.html#dept=EU_Pasha-de-Cartier,17900.0,EUR,Q4 September 2022,Other,Medium,Pasha
WGPA0014,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod25372685655505750.html#dept=EU_Pasha-de-Cartier,15400.0,EUR,Q4 September 2022,Other,Medium,Pasha
HPI01435,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod25372685655516924.html#dept=EU_Pasha-de-Cartier,143000.0,EUR,Q4 September 2022,Other,Medium,Pasha
W2PA0007,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod36856120585485804.html#dept=EU_Pasha-de-Cartier,8950.0,EUR,Q4 September 2022,Other,Medium,Pasha
WGPA0018,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod36856120585485805.html#dept=EU_Pasha-de-Cartier,12400.0,EUR,Q4 September 2022,Other,Medium,Pasha
WJPA0017,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod36856120585485806.html#dept=EU_Pasha-de-Cartier,19400.0,EUR,Q4 September 2022,Other,Medium,Pasha
WJPA0018,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod36856120585485807.html#dept=EU_Pasha-de-Cartier,34800.0,EUR,Q4 September 2022,Other,Medium,Pasha
WSPA0021,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod36856120585485808.html#dept=EU_Pasha-de-Cartier,5400.0,EUR,Q4 September 2022,Other,Medium,Pasha
WJPA0019,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod36856120585486872.html#dept=EU_Pasha-de-Cartier,126000.0,EUR,Q4 September 2022,Other,Medium,Pasha
WHPA0010,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod42247633209267041.html#dept=EU_Pasha-de-Cartier,82500.0,EUR,Q4 September 2022,Other,Medium,Pasha
HPI01450,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod43769801097815911.html#dept=EU_Pasha-de-Cartier,120000.0,EUR,Q4 September 2022,Other,Medium,Pasha
WGPA0022,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod4394988608801344.html#dept=EU_Pasha-de-Cartier,38700.0,EUR,Q4 September 2022,Other,Medium,Pasha
WJPA0012,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod44733502651434913.html#dept=EU_Pasha-de-Cartier,26800.0,EUR,Q4 September 2022,Other,Medium,Pasha
WJPA0013,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod44733502651434915.html#dept=EU_Pasha-de-Cartier,41400.0,EUR,Q4 September 2022,Other,Medium,Pasha
WSPA0009,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod44733502651435008.html#dept=EU_Pasha-de-Cartier,7200.0,EUR,Q4 September 2022,Other,Medium,Pasha
WSPA0013,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod44733502651435009.html#dept=EU_Pasha-de-Cartier,6600.0,EUR,Q4 September 2022,Other,Medium,Pasha
WHPA0017,https://www.cartier.com/fr-fr/montre-pasha-de-cartier_cod45666037504809308.html#dept=EU_Pasha-de-Cartier,28200.0,EUR,Q4 September 2022,Other,Medium,Pasha
HPI01472,https://www.cartier.com/fr-fr/montre-revelation-d-une-panthere_cod13452677152895292.html#dept=EU_Panthere-Jewellery-Watches,282000.0,EUR,Q4 September 2022,Other,Medium,Panthere
HPI01354,https://www.cartier.com/fr-fr/montre-revelation-d-une-panthere_cod25372685655516909.html#dept=EU_Panthere-Jewellery-Watches,119000.0,EUR,Q4 September 2022,Other,Medium,Panthere
HPI01355,https://www.cartier.com/fr-fr/montre-revelation-d-une-panthere_cod25372685655516910.html#dept=EU_Panthere-Jewellery-Watches,119000.0,EUR,Q4 September 2022,Other,Medium,Panthere
HPI01430,https://www.cartier.com/fr-fr/montre-revelation-d-une-panthere_cod25372685655516923.html#dept=EU_Panthere-Jewellery-Watches,126000.0,EUR,Q4 September 2022,Other,Medium,Panthere
HPI01356,https://www.cartier.com/fr-fr/montre-revelation-d-une-panthere_cod43769801097815909.html#dept=EU_Panthere-Jewellery-Watches,275000.0,EUR,Q4 September 2022,Other,Medium,Panthere
HPI01259,https://www.cartier.com/fr-fr/montre-revelation-d-une-panthere_cod44733502651434883.html#dept=EU_Panthere-Jewellery-Watches,113000.0,EUR,Q4 September 2022,Other,Medium,Panthere
WR000351,https://www.cartier.com/fr-fr/montre-ronde-louis-cartier_cod44733502651434975.html#dept=EU_Ronde-and-Rotonde-de-Cartier,18000.0,EUR,Q4 September 2022,Other,Medium,Other
WR007001,https://www.cartier.com/fr-fr/montre-ronde-louis-cartier_cod44733502651434976.html#dept=EU_Ronde-and-Rotonde-de-Cartier,36600.0,EUR,Q4 September 2022,Other,Medium,Other
WR007002,https://www.cartier.com/fr-fr/montre-ronde-louis-cartier_cod44733502651434977.html#dept=EU_Ronde-and-Rotonde-de-Cartier,39300.0,EUR,Q4 September 2022,Other,Medium,Other
WR007017,https://www.cartier.com/fr-fr/montre-ronde-louis-cartier_cod44733502651434978.html#dept=EU_Ronde-and-Rotonde-de-Cartier,30000.0,EUR,Q4 September 2022,Other,Medium,Other
WR000251,https://www.cartier.com/fr-fr/montre-ronde-louis-cartier_cod44733502651439560.html#dept=EU_Ronde-and-Rotonde-de-Cartier,19200.0,EUR,Q4 September 2022,Other,Medium,Other
WR000551,https://www.cartier.com/fr-fr/montre-ronde-louis-cartier_cod44733502651439561.html#dept=EU_Ronde-and-Rotonde-de-Cartier,26900.0,EUR,Q4 September 2022,Other,Medium,Other
WR000651,https://www.cartier.com/fr-fr/montre-ronde-louis-cartier_cod44733502651439562.html#dept=EU_Ronde-and-Rotonde-de-Cartier,25200.0,EUR,Q4 September 2022,Other,Medium,Other
WR007003,https://www.cartier.com/fr-fr/montre-ronde-louis-cartier_cod44733502651439563.html#dept=EU_Ronde-and-Rotonde-de-Cartier,66000.0,EUR,Q4 September 2022,Other,Medium,Other
WGRN0006,https://www.cartier.com/fr-fr/montre-ronde-louis-cartier_cod44733502651447076.html#dept=EU_Ronde-and-Rotonde-de-Cartier,12600.0,EUR,Q4 September 2022,Other,Medium,Other
W6800151,https://www.cartier.com/fr-fr/montre-ronde-louis-cartier_cod44733502651456420.html#dept=EU_Ronde-and-Rotonde-de-Cartier,8700.0,EUR,Q4 September 2022,Other,Medium,Other
W6800251,https://www.cartier.com/fr-fr/montre-ronde-louis-cartier_cod44733502651456421.html#dept=EU_Ronde-and-Rotonde-de-Cartier,11900.0,EUR,Q4 September 2022,Other,Medium,Other
W6801004,https://www.cartier.com/fr-fr/montre-ronde-louis-cartier_cod44733502651456422.html#dept=EU_Ronde-and-Rotonde-de-Cartier,16100.0,EUR,Q4 September 2022,Other,Medium,Other
W6801005,https://www.cartier.com/fr-fr/montre-ronde-louis-cartier_cod44733502651456423.html#dept=EU_Ronde-and-Rotonde-de-Cartier,14900.0,EUR,Q4 September 2022,Other,Medium,Other
WSRN0032,https://www.cartier.com/fr-fr/montre-ronde-must-de-cartier_cod45666037504809362.html#dept=EU_Ronde-and-Rotonde-de-Cartier,3850.0,EUR,Q4 September 2022,Other,Medium,Other
WSRN0035,https://www.cartier.com/fr-fr/montre-ronde-must-de-cartier_cod45666037504809371.html#dept=EU_Ronde-and-Rotonde-de-Cartier,4300.0,EUR,Q4 September 2022,Other,Medium,Other
W2RN0008,https://www.cartier.com/fr-fr/montre-ronde-solo-de-cartier_cod44733502651456353.html#dept=EU_Ronde-and-Rotonde-de-Cartier,7200.0,EUR,Q4 September 2022,Other,Medium,Other
W6700355,https://www.cartier.com/fr-fr/montre-ronde-solo-de-cartier_cod44733502651456412.html#dept=EU_Ronde-and-Rotonde-de-Cartier,5300.0,EUR,Q4 September 2022,Other,Medium,Other
W6700455,https://www.cartier.com/fr-fr/montre-ronde-solo-de-cartier_cod44733502651456413.html#dept=EU_Ronde-and-Rotonde-de-Cartier,6650.0,EUR,Q4 September 2022,Other,Medium,Other
W6701007,https://www.cartier.com/fr-fr/montre-ronde-solo-de-cartier_cod44733502651456416.html#dept=EU_Ronde-and-Rotonde-de-Cartier,5300.0,EUR,Q4 September 2022,Other,Medium,Other
W6701009,https://www.cartier.com/fr-fr/montre-ronde-solo-de-cartier_cod44733502651456418.html#dept=EU_Ronde-and-Rotonde-de-Cartier,10200.0,EUR,Q4 September 2022,Other,Medium,Other
WHRO0039,https://www.cartier.com/fr-fr/montre-rotonde-de-cartier-double-tourbillon-mysterieux_cod44733502651447188.html#dept=EU_Ronde-and-Rotonde-de-Cartier,152000.0,EUR,Q4 September 2022,Other,Medium,Other
WHRO0082,https://www.cartier.com/fr-fr/montre-rotonde-de-cartier_cod1647597280495014.html#dept=EU_Ronde-and-Rotonde-de-Cartier,300000.0,EUR,Q4 September 2022,Other,Medium,Other
WHRO0060,https://www.cartier.com/fr-fr/montre-rotonde-de-cartier_cod44733502651442531.html#dept=EU_Ronde-and-Rotonde-de-Cartier,59500.0,EUR,Q4 September 2022,Other,Medium,Other
WHRO0014,https://www.cartier.com/fr-fr/montre-rotonde-de-cartier_cod44733502651447180.html#dept=EU_Ronde-and-Rotonde-de-Cartier,63000.0,EUR,Q4 September 2022,Other,Medium,Other
WHRO0027,https://www.cartier.com/fr-fr/montre-rotonde-de-cartier_cod44733502651447186.html#dept=EU_Ronde-and-Rotonde-de-Cartier,185000.0,EUR,Q4 September 2022,Other,Medium,Other
WHRO0040,https://www.cartier.com/fr-fr/montre-rotonde-de-cartier_cod44733502651447190.html#dept=EU_Ronde-and-Rotonde-de-Cartier,119000.0,EUR,Q4 September 2022,Other,Medium,Other
WSSA0017,https://www.cartier.com/fr-fr/montre-santos-de-cartier-chronographe_cod44733502651435027.html#dept=EU_Santos-de-Cartier,9600.0,EUR,Q4 September 2022,Other,Medium,Santos
WGSA0017,https://www.cartier.com/fr-fr/montre-santos-de-cartier-chronographe_cod44733502651447090.html#dept=EU_Santos-de-Cartier,25800.0,EUR,Q4 September 2022,Other,Medium,Santos
W2SA0008,https://www.cartier.com/fr-fr/montre-santos-de-cartier-chronographe_cod44733502651456356.html#dept=EU_Santos-de-Cartier,14400.0,EUR,Q4 September 2022,Other,Medium,Santos
W4SA0005,https://www.cartier.com/fr-fr/montre-santos-de-cartier_cod18706561955345976.html#dept=EU_Santos-de-Cartier,12900.0,EUR,Q4 September 2022,Other,Medium,Santos
W3SA0007,https://www.cartier.com/fr-fr/montre-santos-de-cartier_cod32027475399767401.html#dept=EU_Santos-de-Cartier,16200.0,EUR,Q4 September 2022,Other,Medium,Santos
W4SA0006,https://www.cartier.com/fr-fr/montre-santos-de-cartier_cod32027475399767407.html#dept=EU_Santos-de-Cartier,12900.0,EUR,Q4 September 2022,Other,Medium,Santos
WHSA0019,https://www.cartier.com/fr-fr/montre-santos-de-cartier_cod33258524072945652.html#dept=EU_Santos-de-Cartier,34600.0,EUR,Q4 September 2022,Other,Medium,Santos
WJSA0007,https://www.cartier.com/fr-fr/montre-santos-de-cartier_cod44733502651434939.html#dept=EU_Santos-de-Cartier,29600.0,EUR,Q4 September 2022,Other,Medium,Santos
WJSA0008,https://www.cartier.com/fr-fr/montre-santos-de-cartier_cod44733502651434940.html#dept=EU_Santos-de-Cartier,29600.0,EUR,Q4 September 2022,Other,Medium,Santos
WJSA0012,https://www.cartier.com/fr-fr/montre-santos-de-cartier_cod44733502651434944.html#dept=EU_Santos-de-Cartier,29600.0,EUR,Q4 September 2022,Other,Medium,Santos
WJSA0014,https://www.cartier.com/fr-fr/montre-santos-de-cartier_cod44733502651434948.html#dept=EU_Santos-de-Cartier,41600.0,EUR,Q4 September 2022,Other,Medium,Santos
WSSA0018,https://www.cartier.com/fr-fr/montre-santos-de-cartier_cod44733502651435029.html#dept=EU_Santos-de-Cartier,7650.0,EUR,Q4 September 2022,Other,Medium,Santos
WSSA0029,https://www.cartier.com/fr-fr/montre-santos-de-cartier_cod44733502651435035.html#dept=EU_Santos-de-Cartier,7000.0,EUR,Q4 September 2022,Other,Medium,Santos
WSSA0030,https://www.cartier.com/fr-fr/montre-santos-de-cartier_cod44733502651435037.html#dept=EU_Santos-de-Cartier,7650.0,EUR,Q4 September 2022,Other,Medium,Santos
WSSA0037,https://www.cartier.com/fr-fr/montre-santos-de-cartier_cod44733502651435039.html#dept=EU_Santos-de-Cartier,8000.0,EUR,Q4 September 2022,Other,Medium,Santos
